CONS_NO,FLAG,Mean,Median,Standard deviation,Variance,Kurtosis,Skew,5%,10%,20%,25%,30%,40%,60%,75%,80%,Error in mean
26DA200D4A887F6AA5B94F5682001428,1,3.818836081,3.71,1.127880908,1.272115343,0.4773324274,0.649696804,2.27,2.49,2.87,2.99,3.13,3.4,4.01,4.48,4.68,0.0010886881
CD8A4B3D5656402D086D865363A34C4B,1,3.321739553,3.36,1.26873485,1.609688119,1.164592888,0.6133395844,1.57,1.788,2.11,2.25,2.39,2.792,3.77,4.24,4.41,0.0012246475
CF9D07950731DB8A0B8A7EECF36A23AE,1,1.435686275,1.31,0.8343690768,0.6961717562,10.29356438,2.524796202,0.68,0.73,0.82,0.86,0.9,1.106,1.36,1.63,1.712,0.0008053756
3E81EC817E9218F25816849A3EDF5FF2,1,3.262819767,2.03,2.37296916,5.630982633,-0.561642245,0.7235192333,0.7855,0.96,1.16,1.25,1.37,1.604,3.964,5.2425,5.608,0.0022905108
A403518D4F4BB4C5ADAF2AB493F428EE,1,2.4794655,2.03,1.800767024,3.242761874,4.318326933,1.769350685,0.76,0.878,1.03,1.1,1.17,1.48,2.46,3.27,3.67,0.0017381921
C16691FB95D8113A4EBA9B4D3D93FB19,1,2.63792695,2.29,1.380227056,1.905026726,7.703043526,2.337290296,1.244,1.55,1.774,1.88,1.96,2.14,2.49,2.87,3.096,0.0013322655
24AECCC33B49F6C16B796C52B9512E00,1,1.8998931,1.8,0.5954566049,0.3545685683,15.94644641,2.440607829,1.21,1.3,1.45,1.5,1.56,1.68,1.928,2.18,2.31,0.0005747651
3D060CF9C1EEEE56218544D0645DE141,1,3.212580331,1.65,3.14876003,9.914689729,0.3811753646,1.242848021,0.55,0.65,0.81,0.9,0.99,1.29,2.342,5.285,6.498,0.0030393437
C814337B76E879241972AB88F46D5DF9,1,4.253571429,4.17,1.622332653,2.631963236,-0.2840755412,0.0085035275,1.2805,2.272,2.88,3.22,3.473,3.85,4.552,5.44,5.7,0.0015659582
9B08ABC08FE0322791CD40C07EFA142F,1,2.329960899,1.99,1.313258,1.724646574,5.450756345,2.021050044,0.981,1.12,1.37,1.465,1.58,1.79,2.23,2.76,3.006,0.0012676236
7666CEB63B6EEFC07CE3434370C3B8ED,1,4.064785992,4.01,1.764135525,3.112174151,0.7451028777,-0.3022149968,0.2,1.818,3.22,3.38,3.53,3.818,4.262,4.93,5.366,0.0017028335
C1543E4D4DCA4198D305FCDD41C24124,1,2.766640701,2.67,1.122654848,1.260353909,2.771067781,0.8822750696,0.993,1.48,1.942,2.12,2.25,2.48,2.916,3.32,3.53,0.0010836437
BE3AEC315E4D760B5E328213C52CE9E9,1,2.303894839,2.28,0.9138656944,0.8351505074,0.8845317427,0.584681393,0.86,1.136,1.56,1.68,1.79,2.01,2.49,2.85,2.98,0.0008821097
038455C720AB01A2A6989DC7A4E693BF,1,2.480078049,2.48,1.10739171,1.2263164,1.647174795,0.5781818682,0.884,1.14,1.418,1.56,1.74,2.096,2.764,3.27,3.43,0.0010689109
5BCDFF9045703E536710021120F10098,1,3.075908203,2.54,1.869405569,3.49467718,4.515940026,1.733955708,1.1115,1.32,1.626,1.75,1.88,2.17,3.06,3.95,4.288,0.0018044455
D9F34F2E8264C05CD97D556528832F96,1,2.337059396,2.37,0.8267497361,0.6835151261,4.659704981,1.032773057,1.19,1.35,1.53,1.63,1.748,2.12,2.57,2.845,2.968,0.000798021
9B52F7EE9FB9A5D2882E114A3F0F6D2E,1,3.661750246,3.62,2.085216167,4.348126461,2.074100909,1.052994603,0.86,1.236,1.672,1.98,2.32,3.004,4.09,4.71,4.99,0.0020127569
0DFBED72EBF20BCB5DD0D0B967F7C8B2,1,3.789610895,3.77,1.084756128,1.176695856,0.2373309387,0.4109360428,2.1535,2.387,2.77,2.91,3.081,3.47,4.07,4.55,4.736,0.0010470619
D6BF1C37C85CF2845580D8457791A9A6,1,1.58700291,2.11,1.140646401,1.301074213,-1.727199297,-0.1159613632,0.125,0.19,0.3,0.35,0.42,0.57,2.35,2.61,2.68,0.00110101
A707575E565009279A40B140650A4B7A,1,2.665933529,1.95,1.740794093,3.030364074,2.381846346,1.36879598,0.841,1.09,1.27,1.36,1.45,1.64,2.684,3.71,4.036,0.0016803032
E87A785D51ED7130C4F6C62C3F86A8FA,1,2.411978661,1.55,1.849105783,3.419192198,-0.4479031719,0.8420941532,0.57,0.67,0.81,0.87,0.95,1.16,2.35,4.005,4.37,0.0017848511
033C1A416CF62AC44485F5F27050BEB9,1,2.938098522,2.65,1.447013394,2.093847761,-0.3401957087,0.6337476934,1.21,1.34,1.57,1.715,1.84,2.18,3.24,3.89,4.234,0.0013967311
E1703AE747939E6827027A41DEDD7DCB,0,2.152035225,2.08,1.090303791,1.188762357,7.010951309,1.306978814,0.8105,0.961,1.09,1.16,1.28,1.59,2.75,2.94,3.01,0.0010524168
119896F593D8B7C008579B343340BDE2,0,3.270207305,3.13,1.152156277,1.327464087,2.515881981,1.068976051,1.712,1.96,2.31,2.48,2.62,2.91,3.41,3.9,4.076,0.00111212
251E03D8F7074B7126C36EF7E9AC1FD2,0,5.959647059,5.89,1.320132875,1.742750808,1.738704034,0.1845788549,4.0695,4.499,4.898,5.11,5.267,5.58,6.16,6.75,7.022,0.0012742595
1AD93B02AE7442D1CC63CB63E0619832,0,3.560642648,3.19,2.177495561,4.741486916,1.488172053,1.077342486,0.293,1.142,2.08,2.31,2.486,2.81,3.56,4.51,4.85,0.0021018297
E340B1E2B898DD7F72B62B316CCDAECC,0,2.253179588,2.29,0.8278959402,0.6854116878,0.5535813555,-0.4782617335,0.463,1.196,1.746,1.86,1.95,2.12,2.47,2.79,2.91,0.0007991274
863EC7E9706F37397B7EB4291BDEEFB0,0,1.419040157,1.3,0.7121444137,0.507149666,5.574554528,2.059681461,0.68,0.8,0.9,0.96,1.01,1.2,1.39,1.53,1.61,0.0006873981
FE87F0D27D9A6D3A71EC34159DF1C35D,0,2.806967054,2.56,1.347735035,1.816389725,4.154686014,1.527239972,0.57,1.68,1.96,2.06,2.17,2.38,2.77,3.14,3.428,0.0013009025
